
200	0.168	16000000
400	1.458	128000000
800	14.749	1024000000
1200	50.377	3456000000
1600	121.972	8192000000
2000	286.692	16000000000

200	0.167	16000000
400	1.334	128000000
800	12.696	1024000000
1200	46.557	3456000000
1600	112.340	8192000000
2000	266.392	16000000000

200	0.168	16000000
400	2.266	128000000
800	15.717	1024000000
1200	49.353	3456000000
1600	114.426	8192000000
2000	272.412	16000000000

200	0.165	16000000
400	1.338	128000000
800	13.546	1024000000
1200	49.792	3456000000
1600	123.778	8192000000
2000	300.900	16000000000
